slc,50000,4322,2856
slc,50000,17288,2572
slc,100000,4322,1711
slc,100000,17288,1717
slc,200000,4322,1237
slc,200000,17288,1233
slc,500000,4322,969
slc,500000,17288,983
slc,860000,4322,925
slc,860000,17288,930
bos,50000,4322,2594
bos,50000,17288,2590
bos,100000,4322,1682
bos,100000,17288,1679
bos,200000,4322,1253
bos,200000,17288,1282
bos,500000,4322,1016
bos,500000,17288,981
bos,860000,4322,913
bos,860000,17288,950
str,50000,4322,2524
str,50000,17288,2501
str,100000,4322,1579
str,100000,17288,1589
str,200000,4322,1130
str,200000,17288,1095
str,500000,4322,846
str,500000,17288,886
str,860000,4322,825
str,860000,17288,772
