x bsp rp rt st hc fg
864 15 175 80 153 600 1020
4322 16 63 65 66 352
8644 18 56 63 60 379
17288 23 60 71 71 840
43220 38 98 123 101 1440
86441 84 232 270 118

# 172882 
# 432206
# 864412
# 4322062
