x bos bsp fg hc slc str
864 1.69878245058 0.047724724 0.00149626471758 1.37281633637 1.86165786233 1.23964310791
4322 0.319817395062 0.017570835 0.000673717659467 1.21714073911 0.348067262559 0.564959185287
8644 0.155094173494 0.01152083 0.000476323486974 1.17108373774 0.169015639581 0.367300301228
17288 0.0742766865196 0.007484678 0.000316191614756 1.12977825229 0.0823111834737 0.246861004043
43220 0.028064053443 0.004338542 0.000189319324436 1.07132559563 0.0318183372048 0.140925383372
86441 0.0136788967259 0.002788055 0.000171711990993 1.07936349374 0.0157721217722 0.0907612805945
172882 0.00693776368703 0.001787457 8.68913807417e-05 1.0243678091 0.00794452833893 0.0587679343619
432206 0.00274261404465 0.001019155 6.44136876542e-05 1.02177175702 0.00315468580367 0.0361637391775
864412 0.00135171568252 0.000666071 5.41755207049e-05 1.03559486729 0.00159163584564 0.0227180528557
4322062 0.000289236892731 0.000273654 3.05988153457e-05 1.64626834721 0.000305201492042 0.00929298169028
