20 0.204141 17.9881 63.732 190.735 322.066 27.8649
100 0.04177 23.9443 63.3645 192.051 223.632 26.4635
200 0.027977 12.8971 63.8183 191.505 205.109 26.1562
400 0.011982 7.98541 63.4579 191.95 199.715 27.9344
1000 0.006013 5.62823 63.8702 194.172 194.255 28.1484
2000 0.003987 4.60188 63.5199 193.44 193.126 31.5951
4000 0.003098 4.16275 63.8089 195.975 195.914 32.2315
10000 0.002491 3.72804 64.5608 202.105 194.724 34.5064
20000 0.00211 3.42131 63.4725 196.364 194.344 37.8076
100000 0.001658 2.85113 63.0931 195.094 206.322 43.3599
