864 0.046594 98.398511 912.459615 4369.928101 4394.661133 682.132
4322 0.009633 75.921766 905.069647 4573.53979 4251.960259 769.635
8644 0.004666 70.856035 905.190484 4574.721411 4265.765021 782.329
17288 0.002463 67.049382 903.848025 4562.124263 4563.200848 1054.06
43220 0.000988 66.066455 918.469104 4565.176273 4283.223717 1122.44
86441 0.000565 69.376913 901.311823 4558.560548 4330.009819 1123.47
172882 0.000327 67.593921 901.683302 4358.479861 4433.278168 1115.13
432206 0.000188 64.204341 901.682543 4334.974019 4602.784122 1104.49
864412 0.000149 61.357986 901.537328 4364.807627 4606.862181 1137.07
4322062 0.000118 60.293725 901.69729 4099.354831 4586.558683 1129.16
